#{"t_start": 1777363659.051414, "env_id": "None"}
r,l,t
-2592.309754,365,1401.800432
-2606.317656,365,1405.460484
-2599.313462,365,1409.091582
-2617.177871,365,1412.694522
-2596.799483,365,1416.253437
-2628.739804,365,1419.976716
-2615.386437,365,1423.522852
-2619.385573,365,1427.074916
-2603.397829,365,1430.730571
-2877.094493,365,1434.384598
-2615.457925,365,1437.953512
-2599.588829,365,1441.606483
-2590.218049,365,1446.397339
-2583.301054,365,1450.005657
-2584.978265,365,1453.603161
-2611.487677,365,1457.165373
-2598.224974,365,1460.837398
-2609.408632,365,1464.498927
-2604.360399,365,1468.088572
-2594.06949,365,1471.747329
-2582.986034,365,1475.351133
-2624.665354,365,1479.049774
-2644.429211,365,1482.618992
-2626.042155,365,1486.175397
-2604.656251,365,1489.876097
-2662.365453,365,1493.540438
-2649.138835,365,1498.4049
-2565.006553,365,1501.982955
-2635.06891,365,1505.701699
-2619.965772,365,1509.397557
-2686.031758,365,1512.874703
-2789.391892,365,1516.57635
-2679.560085,365,1520.232523
-2679.330516,365,1523.929973
-2710.729183,365,1527.441669
-2750.730796,365,1531.059163
-2737.467505,365,1534.677903
-2751.949297,365,1538.368235
-2763.761082,365,1541.883092
-2739.304997,365,1546.63847
-2776.482133,365,1550.278526
-2755.270468,365,1553.902439
-2738.977783,365,1557.336006
-2729.130136,365,1560.984656
-2728.43848,365,1564.695869
-2730.694913,365,1568.380224
-2724.297013,365,1571.934957
-2734.68002,365,1575.611358
-2724.425843,365,1579.330491
-2765.614489,365,1582.993542
-2743.175304,365,1586.591195
-2724.116916,365,1590.221579
-2737.744158,365,1593.860934
-2719.309493,365,1598.66112
-2709.698639,365,1602.279809
-2723.032629,365,1605.854626
-2722.620207,365,1609.447495
-2677.933185,365,1612.965323
-2684.255115,365,1616.18911
-2674.377659,365,1619.14616
-2697.093198,365,1622.219564
-2695.908125,365,1625.358513
-2694.159464,365,1628.425324
-2669.903206,365,1631.767907
-2676.653764,365,1635.263225
-2677.628426,365,1638.672832
-2680.878877,365,1641.754098
-2670.736137,365,1646.292555
-2620.426817,365,1649.852028
-2645.922324,365,1653.361774
-2656.50324,365,1656.461729
-2645.763325,365,1659.885333
-2619.164445,365,1662.934777
-2623.54528,365,1666.304469
-2624.127231,365,1669.586518
-2614.320452,365,1672.783088
-2624.197571,365,1675.867825
-2622.064267,365,1679.224119
-2614.592721,365,1682.324965
-2608.7188,365,1685.614734
-2611.948215,365,1690.193864
-2610.35928,365,1693.421433
-2596.997835,365,1696.548911
-2588.580855,365,1699.779951
-2574.552533,365,1702.623511
-2582.145646,365,1705.43381
-2586.473415,365,1708.418795
-2577.227679,365,1711.413208
-2587.677684,365,1714.595791
-2570.240479,365,1717.579957
-2564.046796,365,1720.602464
-2580.023578,365,1723.69749
-2574.56158,365,1726.920519
-2581.564033,365,1730.012136
-2575.021897,365,1734.474456
-2585.350472,365,1737.67123
-2590.686605,365,1741.035841
-2595.562603,365,1744.604281
-2600.940749,365,1747.676661
-2594.731959,365,1750.552798
-2591.761605,365,1753.635067
-2583.021632,365,1756.934031
-2587.048844,365,1760.520603
-2583.914425,365,1763.996664
-2587.95699,365,1767.45342
-2599.307146,365,1770.382639
-2582.977856,365,1773.607669
-2597.114931,365,1776.785494
-2596.138806,365,1781.294894
-2614.33419,365,1784.47658
-2601.787068,365,1787.534892
-2588.603482,365,1790.525633
-2585.607866,365,1793.749076
-2585.967489,365,1796.711641
-2586.63183,365,1799.493844
-2571.967634,365,1802.010298
-2581.242806,365,1804.858788
-2568.38059,365,1807.758467
-2573.469377,365,1810.967489
-2582.019881,365,1813.721571
-2584.959876,365,1816.552458
